return_id,order_id,return_date,return_reason,return_status,refund_amount,return_shipping_cost,restocking_cost
RET00032,ORD000406,2025-09-05,Not as Expected,Approved,5489.1,160,133.1
RET00033,ORD000415,2025-07-26,Size/Fit,Approved,3620.31,170,270.13
RET00034,ORD000424,2025-12-19,Changed Mind,Approved,899.22,75,24.96
RET00035,ORD000430,2025-05-03,Not as Expected,Approved,4901.29,80,88.93
RET00036,ORD000437,2025-07-13,Late Delivery,Approved,5758.42,105,35.26
RET00037,ORD000441,2025-05-15,Not as Expected,Approved,8830.77,105,127.42
RET00038,ORD000463,2025-05-02,Not as Expected,Approved,9306.6,170,607.85
RET00039,ORD000468,2025-03-03,Size/Fit,Approved,4926.34,70,146.33
RET00040,ORD000487,2025-06-27,Not as Expected,Approved,9631.98,140,135.59
RET00041,ORD000504,2025-12-01,Not as Expected,Approved,12089.94,130,310.21
RET00042,ORD000521,2025-11-18,Changed Mind,Approved,1153.57,100,80.98
RET00043,ORD000535,2025-10-28,Size/Fit,Approved,4159.96,100,53.02
RET00044,ORD000537,2025-05-06,Size/Fit,Approved,10423.34,125,77.62
RET00045,ORD000539,2025-08-03,Damaged,Approved,15764.66,145,754.22
RET00046,ORD000540,2025-07-07,Damaged,Approved,41446.87,140,1504.07
RET00047,ORD000556,2025-01-21,Size/Fit,Approved,9522.77,65,212.77
RET00048,ORD000564,2025-04-19,Size/Fit,Approved,12405.92,125,399.13
RET00049,ORD000580,2025-09-03,Size/Fit,Approved,6061.24,125,445.56
RET00050,ORD000601,2025-12-29,Not as Expected,Approved,13385.29,150,487.22
RET00051,ORD000605,2025-02-14,Not as Expected,Approved,25299.12,160,555.3
RET00052,ORD000607,2025-01-26,Size/Fit,Approved,1887.31,130,27.69
RET00053,ORD000609,2025-01-21,Size/Fit,Approved,3491.91,90,247.67
RET00054,ORD000610,2025-11-16,Late Delivery,Approved,17657.39,65,1108.83
RET00055,ORD000645,2025-06-14,Not as Expected,Approved,1382.74,65,92.39
RET00056,ORD000650,2025-05-20,Damaged,Approved,12993.83,95,192.08
RET00057,ORD000653,2026-01-09,Damaged,Approved,1509.08,175,5.1
RET00058,ORD000655,2025-05-15,Wrong Item,Approved,14976.02,125,471.03
RET00059,ORD000659,2025-06-09,Size/Fit,Approved,495.5,95,26.65
RET00060,ORD000668,2025-03-28,Not as Expected,Approved,5425.13,110,358.04
RET00061,ORD000669,2025-04-06,Changed Mind,Approved,4712.46,45,103.09
RET00062,ORD000676,2025-08-28,Late Delivery,Approved,1774.93,120,9.24
RET00063,ORD000705,2025-02-17,Late Delivery,Approved,2914.18,170,42
RET00064,ORD000716,2025-02-22,Changed Mind,Approved,10521.69,140,137.32
RET00065,ORD000726,2025-06-17,Wrong Item,Approved,4510.21,80,256.16
RET00066,ORD000750,2025-06-11,Not as Expected,Approved,7945.49,120,409.05
RET00067,ORD000769,2025-05-01,Size/Fit,Approved,3194.62,85,117.94
RET00068,ORD000774,2025-04-08,Damaged,Approved,8843.1,165,312.82
RET00069,ORD000781,2025-12-18,Size/Fit,Approved,13932.12,110,499.05
RET00070,ORD000789,2025-10-14,Size/Fit,Approved,6702.61,75,427.78
RET00071,ORD000843,2025-11-07,Not as Expected,Approved,4673.64,80,207.49
RET00072,ORD000846,2025-01-21,Late Delivery,Approved,2241,110,141.25
RET00073,ORD000847,2025-08-26,Late Delivery,Approved,15273.35,60,917.58
RET00074,ORD000857,2025-12-27,Damaged,Approved,864.37,50,55.91
RET00075,ORD000878,2025-04-25,Size/Fit,Approved,9613.93,165,218.76
RET00076,ORD000909,2025-04-28,Size/Fit,Approved,12218.5,100,350.32
RET00077,ORD000910,2025-03-22,Size/Fit,Rejected,0,0,0
RET00078,ORD000947,2025-10-10,Size/Fit,Approved,1622.66,160,52.98
RET00079,ORD000968,2025-07-25,Damaged,Approved,3020.78,60,193.24
RET00080,ORD000975,2025-06-16,Late Delivery,Approved,12262.25,110,154.86
RET00081,ORD000993,2025-09-13,Wrong Item,Approved,4627.47,60,36.13
RET00082,ORD000996,2025-08-17,Late Delivery,Approved,23712.19,110,218.16
RET00083,ORD000998,2025-11-03,Size/Fit,Rejected,0,0,0
RET00084,ORD001013,2025-12-30,Late Delivery,Approved,3965.41,180,33.36
RET00085,ORD001030,2025-09-26,Changed Mind,Approved,29795.29,135,926.58
RET00086,ORD001032,2025-05-22,Not as Expected,Approved,6261.18,145,292.77
RET00087,ORD001046,2025-12-18,Changed Mind,Approved,3120.05,50,55.58
RET00088,ORD001050,2025-06-02,Not as Expected,Approved,7138.89,55,114.94
RET00089,ORD001052,2025-01-23,Not as Expected,Approved,8120.04,70,118.73
RET00090,ORD001056,2025-05-04,Size/Fit,Approved,5993.63,175,365.92
RET00091,ORD001065,2025-04-25,Changed Mind,Approved,11453.62,125,151.55
RET00092,ORD001077,2025-07-10,Not as Expected,Approved,16245.4,165,753.92
RET00093,ORD001090,2025-04-15,Not as Expected,Approved,12513.29,65,753.9
RET00094,ORD001093,2025-08-04,Late Delivery,Approved,7779.44,60,357.79
RET00095,ORD001103,2025-09-25,Changed Mind,Approved,15347.68,100,1052.83
RET00096,ORD001138,2025-02-11,Size/Fit,Approved,1698.45,65,101.37
RET00097,ORD001142,2025-02-19,Wrong Item,Approved,8511.91,115,194.24
RET00098,ORD001157,2025-09-08,Changed Mind,Approved,3115.18,135,143.99
RET00099,ORD001197,2025-04-19,Not as Expected,Approved,2023.54,175,112.74
RET00100,ORD001198,2025-11-16,Not as Expected,Approved,997.44,70,19.03
RET00101,ORD001221,2025-10-10,Wrong Item,Approved,7498.62,110,417.81
RET00102,ORD001235,2026-01-16,Wrong Item,Approved,14668.78,100,129.11
RET00103,ORD001244,2025-02-25,Late Delivery,Approved,3668.96,55,130.38
RET00104,ORD001277,2025-11-12,Size/Fit,Approved,10218.31,140,306.88
RET00105,ORD001279,2025-06-23,Late Delivery,Approved,24488.98,110,1891.22
RET00106,ORD001290,2025-11-21,Late Delivery,Rejected,0,0,0
RET00107,ORD001301,2025-05-03,Size/Fit,Approved,5899.35,65,111.94
RET00108,ORD001304,2025-10-08,Not as Expected,Approved,1729.99,165,128.31
RET00109,ORD001308,2025-04-11,Not as Expected,Approved,10642.89,175,54.29
RET00110,ORD001329,2025-12-13,Damaged,Approved,6051.75,135,378.83
RET00111,ORD001343,2025-09-08,Damaged,Approved,3905.43,65,152.05
RET00112,ORD001363,2025-08-22,Not as Expected,Approved,4053.83,135,118.56
RET00113,ORD001400,2026-01-04,Not as Expected,Rejected,0,0,0
RET00114,ORD001401,2025-12-23,Size/Fit,Approved,7915.12,95,37.64
RET00115,ORD001412,2025-10-07,Changed Mind,Approved,12268.11,130,746.18
RET00116,ORD001415,2025-06-30,Size/Fit,Approved,11789.4,135,287.91
RET00117,ORD001416,2025-02-22,Late Delivery,Approved,4901.48,160,282.8
RET00118,ORD001421,2025-09-27,Size/Fit,Approved,631.49,65,23.52
RET00119,ORD001431,2025-04-07,Wrong Item,Approved,1689.92,70,10.65
RET00120,ORD001467,2025-07-09,Not as Expected,Approved,6866.15,145,71.19
RET00121,ORD001478,2025-02-09,Late Delivery,Approved,582.99,70,4.07
RET00122,ORD001496,2025-10-29,Not as Expected,Approved,3319.48,85,38.81
RET00123,ORD001498,2025-08-02,Damaged,Approved,6097.19,135,432.07
RET00124,ORD001500,2025-08-02,Not as Expected,Approved,5325.49,135,194.37
RET00125,ORD001503,2025-03-19,Late Delivery,Approved,13395.85,65,1013.41
RET00126,ORD001504,2025-09-17,Size/Fit,Approved,252.45,150,3.59
RET00127,ORD001511,2025-08-07,Size/Fit,Approved,1141.38,150,61.2
RET00128,ORD001527,2025-06-21,Late Delivery,Approved,18471.89,115,591.58
RET00129,ORD001528,2025-09-20,Size/Fit,Approved,2074.34,120,45.18
RET00130,ORD001535,2025-07-30,Wrong Item,Approved,15958.85,135,752.48
RET00131,ORD001540,2025-02-27,Damaged,Approved,13150.34,145,1026.16
RET00132,ORD001551,2025-03-20,Size/Fit,Approved,2188.82,95,89.97
RET00133,ORD001567,2025-02-21,Not as Expected,Rejected,0,0,0
RET00134,ORD001572,2025-06-15,Size/Fit,Rejected,0,0,0
RET00135,ORD001611,2026-01-09,Damaged,Approved,5711.02,80,247.8
RET00136,ORD001620,2025-05-01,Changed Mind,Approved,4162.52,100,329.88
RET00137,ORD001637,2025-03-08,Damaged,Approved,4215.81,145,230.19
RET00138,ORD001656,2025-08-20,Damaged,Approved,2398.12,90,112.27
RET00139,ORD001679,2025-03-30,Damaged,Approved,13477.1,160,465.25
RET00140,ORD001690,2025-10-25,Changed Mind,Approved,28662.61,80,260.5
RET00141,ORD001698,2025-11-23,Size/Fit,Approved,3369.46,125,163.95
RET00142,ORD001699,2025-03-06,Damaged,Approved,3806,110,254.09
RET00143,ORD001709,2025-06-29,Not as Expected,Approved,6074.87,125,66.81
RET00144,ORD001713,2025-04-29,Not as Expected,Approved,3481.88,115,69.12
RET00145,ORD001715,2025-08-12,Late Delivery,Approved,2189.95,155,18.55
RET00146,ORD001725,2025-06-17,Size/Fit,Approved,3055.12,65,151.17
RET00147,ORD001762,2025-05-15,Changed Mind,Approved,1893.22,90,62.98
RET00148,ORD001784,2025-02-24,Not as Expected,Approved,1263.44,75,47.51
RET00149,ORD001805,2025-06-20,Not as Expected,Approved,602.56,55,10.61
RET00150,ORD001850,2025-05-05,Late Delivery,Approved,2906.98,105,229.66
RET00151,ORD001871,2025-03-27,Changed Mind,Approved,1000.4,155,14.56
RET00152,ORD001872,2025-04-26,Not as Expected,Approved,14610.6,110,719.85
RET00153,ORD001884,2025-12-02,Size/Fit,Approved,3317.25,95,109.21
RET00154,ORD001889,2025-08-08,Size/Fit,Approved,4921.92,145,39.46
RET00155,ORD001890,2025-10-05,Size/Fit,Approved,7415.5,75,256.88
RET00156,ORD001894,2025-03-20,Size/Fit,Approved,11197.57,95,515.03
RET00157,ORD001911,2025-05-18,Not as Expected,Approved,6091.83,95,473.49
RET00158,ORD001924,2025-01-28,Changed Mind,Approved,3036.64,175,216.58
RET00159,ORD001968,2025-07-26,Damaged,Approved,26512.11,120,1113.42
RET00160,ORD001979,2025-12-04,Damaged,Approved,1002.7,150,78.66
RET00161,ORD001989,2025-02-12,Size/Fit,Approved,13900.49,75,95.64
RET00162,ORD002006,2025-07-08,Size/Fit,Approved,3661.41,135,201.77
RET00163,ORD002033,2025-08-14,Size/Fit,Approved,4578.63,55,221.93
RET00164,ORD002074,2025-04-19,Wrong Item,Approved,688.11,180,23.77
RET00165,ORD002088,2025-12-22,Damaged,Approved,15055.88,45,405.22
RET00166,ORD002102,2025-06-23,Late Delivery,Approved,11776.75,155,166.02
RET00167,ORD002108,2025-11-02,Late Delivery,Approved,5543.29,50,10.4
RET00168,ORD002109,2025-05-04,Not as Expected,Approved,1410.55,90,56.1
RET00169,ORD002122,2025-07-03,Not as Expected,Approved,16558.15,165,1065.73
RET00170,ORD002127,2025-02-19,Size/Fit,Approved,10540.51,110,721.9
RET00171,ORD002128,2025-09-21,Not as Expected,Rejected,0,0,0
RET00172,ORD002141,2025-06-11,Size/Fit,Approved,3831.61,110,187.05
RET00173,ORD002143,2026-01-12,Not as Expected,Approved,1472.66,135,58.93
RET00174,ORD002152,2025-12-12,Changed Mind,Approved,5180.13,170,352.98
RET00175,ORD002155,2025-07-31,Late Delivery,Approved,9715.25,75,422.36
RET00176,ORD002176,2025-02-16,Damaged,Approved,2360.08,95,96.31
RET00177,ORD002198,2025-05-23,Size/Fit,Approved,5374.3,85,361.84
RET00178,ORD002247,2025-09-03,Wrong Item,Approved,5108.28,105,240.36
RET00179,ORD002250,2025-07-25,Not as Expected,Approved,7823.65,60,311.76
RET00180,ORD002277,2025-05-20,Changed Mind,Approved,270.54,140,7.86
RET00181,ORD002279,2025-01-19,Not as Expected,Approved,13050.5,145,142.45
RET00182,ORD002286,2025-03-28,Size/Fit,Approved,2033.38,150,15.37
RET00183,ORD002290,2025-09-24,Changed Mind,Approved,3374,130,39.44
RET00184,ORD002303,2025-04-24,Not as Expected,Rejected,0,0,0
RET00185,ORD002314,2025-03-15,Changed Mind,Approved,10455.62,50,159.89
RET00186,ORD002373,2025-07-05,Late Delivery,Approved,26585.8,125,1189.83
RET00187,ORD002382,2025-09-14,Wrong Item,Approved,3222.7,170,53.92
RET00188,ORD002394,2025-12-27,Late Delivery,Approved,3277.16,85,45.07
RET00189,ORD002399,2025-08-15,Damaged,Approved,3632.39,95,28.87
RET00190,ORD002402,2025-06-03,Not as Expected,Approved,4894.52,125,156.95
RET00191,ORD002414,2025-11-15,Damaged,Approved,8651.79,165,458.72
RET00192,ORD002423,2025-08-25,Not as Expected,Approved,9131.05,165,211.4
RET00193,ORD002430,2025-01-21,Not as Expected,Approved,1859.76,160,89.41
RET00194,ORD002460,2025-04-09,Late Delivery,Approved,14557.14,135,506.83
RET00195,ORD002467,2025-07-05,Late Delivery,Approved,14305.17,140,1070.5
RET00196,ORD002470,2025-12-01,Changed Mind,Approved,1107.34,105,62.57
RET00197,ORD002484,2025-09-05,Not as Expected,Approved,31549.53,170,2009.91
RET00198,ORD002537,2025-12-04,Damaged,Approved,24549.59,180,1643.4
RET00199,ORD002551,2025-07-04,Damaged,Approved,20515.35,95,337.35
RET00200,ORD002572,2025-06-21,Not as Expected,Approved,2894.46,100,100.79
RET00201,ORD002581,2025-07-15,Wrong Item,Approved,7542.07,175,282.29
RET00202,ORD002592,2025-11-10,Size/Fit,Approved,1884.18,70,93.26
RET00203,ORD002599,2025-02-16,Damaged,Approved,5835.42,110,286.55
RET00204,ORD002605,2025-02-02,Not as Expected,Approved,3116.48,180,8.97
RET00205,ORD002635,2025-08-16,Damaged,Approved,18874.97,145,1382.24
RET00206,ORD002657,2025-09-10,Wrong Item,Approved,7393.21,50,397.78
RET00207,ORD002658,2025-09-21,Damaged,Approved,6833.45,130,264.32
RET00208,ORD002677,2025-06-11,Changed Mind,Approved,5762.16,120,27.23
RET00209,ORD002710,2025-04-30,Size/Fit,Approved,7911.63,130,354.92
RET00210,ORD002716,2025-04-12,Damaged,Approved,17505.31,50,726.81
RET00211,ORD002786,2025-06-15,Not as Expected,Approved,8785.19,95,197.79
RET00212,ORD002787,2025-10-26,Not as Expected,Approved,1762.56,100,30.42
RET00213,ORD002798,2025-03-28,Changed Mind,Approved,15577.67,130,206.48
RET00214,ORD002804,2025-12-16,Late Delivery,Approved,49495.33,155,3955.13
RET00215,ORD002862,2025-08-29,Wrong Item,Approved,15023.46,150,610.43
RET00216,ORD002872,2025-08-21,Not as Expected,Approved,5497.56,75,185.56
RET00217,ORD002885,2025-10-25,Size/Fit,Approved,59984.26,115,1188.11
RET00218,ORD002891,2025-06-17,Late Delivery,Approved,13680.4,155,329.84
RET00219,ORD002898,2025-11-23,Size/Fit,Approved,4266.52,145,314.48
RET00220,ORD002901,2025-06-20,Changed Mind,Approved,3077.07,90,183.95
RET00221,ORD002908,2025-10-30,Size/Fit,Approved,1052.86,100,17.71
RET00222,ORD002934,2025-10-29,Changed Mind,Approved,8346.79,110,24.64
RET00223,ORD002942,2025-07-21,Damaged,Approved,2231.25,90,53.91
RET00224,ORD002943,2025-04-02,Size/Fit,Approved,12435.51,120,6.18
RET00225,ORD002963,2025-07-20,Damaged,Approved,3154.96,120,142.87
RET00226,ORD002972,2025-10-13,Size/Fit,Approved,4515.22,75,11.72
RET00227,ORD002993,2025-10-13,Size/Fit,Approved,12564.31,80,915.85
RET00228,ORD002998,2025-03-03,Changed Mind,Approved,9090.11,65,436.69
RET00229,ORD003011,2025-11-16,Size/Fit,Approved,5876.66,175,104.56
RET00230,ORD003017,2025-05-20,Late Delivery,Approved,33060.24,80,536.86
RET00231,ORD003031,2025-04-30,Late Delivery,Approved,963.26,120,24.39
RET00232,ORD003036,2025-01-09,Not as Expected,Approved,8720.3,150,678.88
RET00233,ORD003042,2025-01-19,Wrong Item,Approved,2737.33,95,94.92
RET00234,ORD003047,2025-11-11,Damaged,Rejected,0,0,0
RET00235,ORD003050,2025-05-16,Changed Mind,Approved,4321.39,95,118.25
RET00236,ORD003095,2025-01-29,Damaged,Approved,947.11,95,33.16
RET00237,ORD003108,2025-06-18,Late Delivery,Approved,12366.87,45,283.4
RET00238,ORD003115,2025-01-29,Late Delivery,Approved,29246.17,100,964.78
RET00239,ORD003129,2025-03-23,Not as Expected,Approved,1729.86,85,28.99
RET00240,ORD003161,2025-10-18,Changed Mind,Approved,21461.99,155,405.34
RET00241,ORD003164,2025-03-20,Size/Fit,Approved,12229.17,90,4.05
RET00242,ORD003170,2025-03-01,Not as Expected,Approved,3742.78,155,35.98
RET00243,ORD003194,2025-04-15,Late Delivery,Approved,2404.02,175,159.85
RET00244,ORD003203,2025-07-26,Damaged,Approved,92992.49,60,4551.63
RET00245,ORD003218,2025-12-21,Size/Fit,Approved,3506.07,55,54.11
RET00246,ORD003231,2025-01-31,Size/Fit,Approved,6226.82,110,487.67
RET00247,ORD003273,2025-01-13,Size/Fit,Approved,3095.24,165,120.08
RET00248,ORD003289,2025-01-19,Size/Fit,Approved,2157.31,105,81.63
RET00249,ORD003295,2025-10-17,Late Delivery,Approved,561.29,130,25.97
RET00250,ORD003298,2025-08-29,Not as Expected,Approved,4136.85,80,112.77
RET00251,ORD003299,2025-08-14,Wrong Item,Approved,10265.67,135,353.72
RET00252,ORD003322,2025-05-16,Changed Mind,Approved,4550.64,50,363.82
RET00253,ORD003323,2025-09-24,Late Delivery,Approved,1191.6,55,25.28
RET00254,ORD003335,2025-01-21,Changed Mind,Approved,33972.62,170,942.84
RET00255,ORD003352,2025-04-17,Not as Expected,Approved,5772.12,150,114.3
RET00256,ORD003357,2025-05-24,Size/Fit,Approved,12177.2,140,533.96
RET00257,ORD003377,2025-12-10,Wrong Item,Approved,26394,175,122.19
RET00258,ORD003406,2025-12-11,Changed Mind,Approved,1801.33,175,72.76
RET00259,ORD003414,2026-01-06,Changed Mind,Approved,725.57,70,42.73
RET00260,ORD003417,2025-05-14,Changed Mind,Approved,7357.44,110,99.64
RET00261,ORD003424,2025-09-09,Damaged,Approved,4758.97,175,377.21
RET00262,ORD003433,2025-08-22,Late Delivery,Approved,12008.42,75,228.24
RET00263,ORD003440,2026-01-14,Not as Expected,Approved,7317.16,135,235.61
RET00264,ORD003468,2025-09-24,Size/Fit,Approved,4452.45,135,347.81
RET00265,ORD003469,2025-11-02,Damaged,Approved,19819.31,110,1413.23
RET00266,ORD003482,2026-01-05,Size/Fit,Approved,6862.64,45,353.65
RET00267,ORD003494,2025-02-21,Not as Expected,Approved,5696.35,100,44.83
RET00268,ORD003509,2025-12-14,Wrong Item,Rejected,0,0,0
RET00269,ORD003516,2025-04-19,Not as Expected,Approved,897.93,140,31.9
RET00270,ORD003518,2025-02-10,Changed Mind,Approved,11358.02,125,263.53
RET00271,ORD003523,2025-08-11,Size/Fit,Approved,6510.94,175,138.34
RET00272,ORD003539,2025-09-11,Size/Fit,Approved,2902.61,50,154.45
RET00273,ORD003569,2025-06-10,Wrong Item,Approved,3068.97,80,126.88
RET00274,ORD003572,2025-10-08,Late Delivery,Approved,9246.39,80,13.51
RET00275,ORD003589,2025-12-25,Changed Mind,Approved,7349.05,75,8.95
RET00276,ORD003593,2025-09-08,Changed Mind,Approved,4358.67,150,327.22
RET00277,ORD003601,2025-11-20,Damaged,Approved,417.12,75,30.96
RET00278,ORD003613,2025-11-08,Damaged,Approved,12764.79,50,396.42
RET00279,ORD003624,2025-09-15,Late Delivery,Approved,9955.46,140,783.98
RET00280,ORD003656,2025-12-14,Changed Mind,Approved,57573.85,155,402.62
RET00281,ORD003675,2025-10-15,Size/Fit,Approved,8666.51,90,227.62
RET00282,ORD003679,2025-04-27,Damaged,Approved,13324.08,145,433.8
RET00283,ORD003684,2025-11-02,Size/Fit,Approved,462.87,115,17.61
RET00284,ORD003692,2025-05-24,Damaged,Approved,45705.84,70,393.77
RET00285,ORD003714,2025-07-25,Late Delivery,Approved,5952.88,175,287.09
RET00286,ORD003730,2025-11-15,Size/Fit,Approved,5472.85,95,81.84
RET00287,ORD003763,2026-01-04,Size/Fit,Approved,894.53,170,30.36
RET00288,ORD003765,2025-06-19,Wrong Item,Approved,29828.83,130,430.43
RET00289,ORD003776,2025-07-31,Size/Fit,Approved,1513.85,110,34.64
RET00290,ORD003797,2025-12-22,Size/Fit,Approved,5661.01,170,348.62
RET00291,ORD003819,2025-10-01,Late Delivery,Approved,15286.41,115,635.79
RET00292,ORD003837,2025-10-11,Damaged,Approved,1660.68,110,117.5
RET00293,ORD003853,2025-09-18,Size/Fit,Approved,5277.33,110,78.54
RET00294,ORD003857,2025-12-05,Damaged,Approved,271.95,105,10.29
RET00295,ORD003862,2025-05-19,Damaged,Approved,2026.48,140,62.46
RET00296,ORD003863,2025-09-23,Not as Expected,Approved,14902.16,160,285.56
RET00297,ORD003864,2025-08-26,Wrong Item,Approved,11085.96,115,828.49
RET00298,ORD003871,2025-07-22,Size/Fit,Approved,4093.47,70,74.48
RET00299,ORD003873,2025-11-28,Size/Fit,Approved,442.73,110,29.31
RET00300,ORD003880,2025-12-23,Changed Mind,Approved,19220.12,175,901.85
RET00301,ORD003882,2025-06-21,Size/Fit,Approved,9496.95,65,659.82
RET00302,ORD003892,2025-01-31,Not as Expected,Approved,6638.08,170,216.49
RET00303,ORD003905,2026-01-02,Size/Fit,Approved,2711.76,70,33.49
RET00304,ORD003908,2025-11-30,Not as Expected,Approved,3036.01,155,217.33
RET00305,ORD003915,2025-11-28,Damaged,Approved,4436.92,65,107.31
RET00306,ORD003924,2025-03-30,Size/Fit,Approved,9116.89,170,631.1
RET00307,ORD003927,2025-04-16,Damaged,Approved,2462.41,65,160.62
RET00308,ORD003940,2025-04-11,Size/Fit,Approved,5331.11,45,362.5
RET00309,ORD003942,2025-12-11,Size/Fit,Approved,1023,160,73.59
RET00310,ORD003947,2025-01-08,Wrong Item,Approved,58642.86,145,1790.83
RET00311,ORD003955,2025-05-17,Damaged,Approved,12421.22,95,653.28
RET00312,ORD003956,2025-06-13,Size/Fit,Approved,963.39,115,15.43
RET00313,ORD003963,2025-06-10,Late Delivery,Approved,9373.52,160,236.31
RET00314,ORD003976,2025-08-15,Not as Expected,Approved,1678.46,45,14.56
RET00315,ORD003992,2025-05-08,Late Delivery,Approved,5643.39,55,193.67
RET00316,ORD003995,2025-12-29,Late Delivery,Approved,22174.86,170,1715.86
RET00317,ORD003998,2025-08-29,Changed Mind,Approved,3447.95,125,162.05
RET00318,ORD004000,2025-02-18,Wrong Item,Approved,551.71,75,12.81
RET00319,ORD004054,2025-01-31,Wrong Item,Approved,10185.71,140,125.99
RET00320,ORD004056,2025-03-13,Changed Mind,Approved,3215.5,70,176.98
RET00321,ORD004061,2025-12-04,Not as Expected,Approved,4190.37,110,90.14
RET00322,ORD004065,2025-12-24,Not as Expected,Approved,2397.38,80,145.31
RET00323,ORD004089,2025-04-27,Damaged,Approved,10954.86,85,529.93
RET00324,ORD004110,2025-02-13,Not as Expected,Approved,4374.32,70,119.9
RET00325,ORD004114,2025-09-19,Damaged,Approved,10891.66,155,323.56
RET00326,ORD004118,2025-11-05,Late Delivery,Approved,21332.96,125,1342.87
RET00327,ORD004132,2025-05-07,Changed Mind,Approved,14725.5,140,387.01
RET00328,ORD004137,2025-04-25,Changed Mind,Approved,2023.94,140,22.93
RET00329,ORD004138,2025-06-23,Changed Mind,Approved,10489.04,130,353.48
RET00330,ORD004140,2025-02-26,Not as Expected,Approved,2847.22,165,209.69
RET00331,ORD004142,2025-03-30,Damaged,Approved,2037.38,130,66.62
RET00332,ORD004147,2025-03-08,Not as Expected,Approved,391.38,170,3.62
RET00333,ORD004153,2025-12-25,Changed Mind,Approved,8771.27,60,213.5
RET00334,ORD004162,2025-05-09,Size/Fit,Approved,10383.6,75,646.97
RET00335,ORD004172,2025-10-22,Size/Fit,Approved,5837.73,115,101.74
RET00336,ORD004182,2025-10-06,Late Delivery,Approved,4398.94,70,311.3
RET00337,ORD004189,2025-02-09,Changed Mind,Approved,2510.63,125,196.3
RET00338,ORD004194,2025-02-09,Size/Fit,Approved,4233.58,115,55.02
RET00339,ORD004197,2025-02-27,Wrong Item,Approved,3079.34,55,202.94
RET00340,ORD004199,2025-02-26,Wrong Item,Approved,2772.19,105,37.56
RET00341,ORD004232,2025-08-03,Wrong Item,Approved,49038.75,180,614.13
RET00342,ORD004237,2025-11-09,Damaged,Approved,41704.36,160,3125.42
RET00343,ORD004247,2025-06-25,Not as Expected,Approved,12134.39,100,387.71
RET00344,ORD004254,2025-10-25,Changed Mind,Approved,14272.34,125,801.23
RET00345,ORD004273,2025-03-18,Damaged,Approved,4976.01,150,320.9
RET00346,ORD004278,2025-09-13,Not as Expected,Approved,9680.59,180,140.09
RET00347,ORD004287,2025-06-10,Not as Expected,Approved,18618.5,175,998.07
RET00348,ORD004296,2025-04-07,Late Delivery,Approved,3848.94,50,112.89
RET00349,ORD004307,2025-09-10,Size/Fit,Approved,2879.67,140,228.71
RET00350,ORD004325,2025-05-05,Wrong Item,Approved,5529.38,110,184.14
RET00351,ORD004333,2025-09-19,Not as Expected,Approved,10635.71,45,519.86
